id,matrix-name,cm-speedup,icm8-speedup,icm16-speedup,icm32-speedup
0,bcsstk03        ,1,0.094,0.096,0.094
1,494_bus ,1,3.544,4.295,3.664
2,LeGresley_2508 ,1,21.192,9.062,7.117
3,Cejka2842,1,1.503,1.897,2
4,rail_5177      ,1,22.553,28.433,31.214
5,c-31,1,147.338,173.756,216.118
6,s3rmt3m3        ,1,199.831,246.97,287.218
7,s1rmq4m1        ,1,767.236,963.79,1137.979
8,Na5             ,1,435.751,492.503,540.76
9,Cejka5943,1,1.476,1.859,2.349
10,fp              ,1,160.58,200.67,246.258
11,Cejka7580,1,0.923,1.149,1.481
12,bundle1         ,1,766.851,1022.014,1337.534
13,Cejka10793      ,1,0.956,1.259,1.67
