id,matrix-name,cm-speedup,icm8-speedup,icm16-speedup,icm32-speedup
0,bcsstk03        ,1,0.115,0.125,0.115
1,494_bus ,1,5.998,5.511,6.809
2,LeGresley_2508 ,1,53.227,84.802,79.518
3,Cejka2842,1,2.047,2.937,2.905
4,rail_5177      ,1,38.406,51.659,50.001
5,c-31,1,371.263,446.054,446.893
6,s3rmt3m3        ,1,427.549,547.32,368.137
7,s1rmq4m1        ,1,1058.745,1352.553,1342.636
8,Na5             ,1,763.785,981.186,961.26
9,Cejka5943,1,128.081,172.294,185.582
10,fp              ,1,340.483,451.545,487.067
11,Cejka7580,1,12.426,50.117,66.423
12,bundle1         ,1,1272.43,1803.084,2030.301
13,Cejka10793      ,1,69.298,225.653,291.013
