id,matrix-name,cm-speedup,icm8-speedup,icm16-speedup,icm32-speedup,cm-Adiff,icmx-Adiff
0,ex5.mtx,1,0.003,0.003,0.003,2.32831E-10,4.65661E-10
1,bcsstk01.mtx,1,0.015,0.016,0.015,1.19209E-07,1.19209E-07
2,bcsstm02.mtx,1,0.436,0.45,0.421,9.09495E-13,1.81899E-12
3,bcsstk02.mtx,1,0.024,0.025,0.024,0,0
4,pivtol.mtx,1,0.049,0.054,0.046,1.04083E-17,1.04083E-17
5,bcsstk03.mtx,1,0.094,0.096,0.094,2.38419E-07,9.53674E-07
6,arc130.mtx,1,0.892,0.945,0.872,7.10543E-15,7.10543E-15
7,bcsstk04.mtx,1,0.106,0.115,0.103,4.65661E-10,9.31323E-10
8,bcsstk22.mtx,1,0.166,0.188,0.159,4.65661E-10,4.65661E-10
9,bcsstk05.mtx,1,0.179,0.195,0.182,2.32831E-10,4.65661E-10
10,problem1.mtx,1,1.671,1.738,1.708,4.44089E-16,4.44089E-16
11,bcsstk06.mtx,1,4.8,5.316,4.806,4.76837E-07,2.38419E-07
12,bcsstk07.mtx,1,4.797,4.611,4.725,4.76837E-07,2.38419E-07
13,bcsstk20.mtx,1,1.933,1.434,1.248,0.03125,2
14,494_bus.mtx,1,3.544,4.295,3.664,2.27374E-13,9.09495E-13
15,662_bus.mtx,1,5.317,5.817,5.575,2.84217E-14,1.13687E-13
16,685_bus.mtx,1,3.334,3.411,3.242,5.68434E-14,1.81899E-12
17,bcsstk19.mtx,1,14.372,15.569,14.152,0.000976563,0.00012207
18,bcsstk08.mtx,1,45.359,50.798,48.371,3.8147E-06,1.19209E-07
19,bcsstk09.mtx,1,45.863,43.678,39.378,7.45058E-09,7.45058E-09
20,bcsstk10.mtx,1,43.66,12.738,5.549,1.86265E-09,3.72529E-09
21,1138_bus.mtx,1,7.882,6.053,5.699,1.13687E-13,1.81899E-12
22,bcsstm27.mtx,1,63.107,74.904,61.887,1.16415E-10,2.32831E-10
23,bcsstk27.mtx,1,57.247,74.703,59.551,1.35287E-11,2.27374E-13
24,bcsstk12.mtx,1,81.481,86.304,84.884,5.96046E-08,1.49012E-08
25,bcsstk11.mtx,1,81.958,92.137,79.626,5.96046E-08,1.49012E-08
26,Cejka1641.mtx,1,1.017,1.183,1.155,6.94058E-09,4.4249E-08
27,bcsstk14.mtx,1,117.339,139.119,129.864,9.53674E-07,2.38419E-07
28,bcsstk26.mtx,1,145.322,161.382,150.031,3.8147E-06,9.53674E-07
29,bcsstm26.mtx,1,239.045,297.927,274.882,0,0
30,bcsstk13.mtx,1,110.85,131.45,120.223,6.10352E-05,7.6294E-06
31,add20.mtx,1,20.094,23.8,22.433,2.77556E-17,5.55112E-17
32,LeGresley_2508.mtx,1,21.192,9.062,7.117,5.68434E-14,1.13687E-13
33,Chem97ZtZ.mtx,1,263.733,304.388,289.743,5.68434E-14,1.13687E-13
34,Cejka2842.mtx,1,1.503,1.897,2,7.44717E-09,4.59842E-08
35,wang1.mtx,1,21.051,23.519,25.926,2.22045E-16,2.22045E-16
36,wang2.mtx,1,20.668,23.357,24.959,2.22045E-16,2.22045E-16
37,bcsstk23.mtx,1,305.315,388.124,426.18,0.25,0.5
38,swang1.mtx,1,48.845,61.886,72.929,1.73472E-18,1.73472E-18
39,swang2.mtx,1,48.343,60.145,71.466,1.73472E-18,1.73472E-18
40,raefsky1.mtx,1,27.468,28.369,25.682,1.11022E-16,2.22045E-16
41,raefsky1.mtx,1,27.468,28.369,25.682,1.11022E-16,2.22045E-16
42,Cejka3352.mtx,1,1.469,1.651,1.614,2.38226E-08,3.46265E-07
43,bcsstk24.mtx,1,147.36,55.054,26.908,0.000244141,0.00390625
44,bcsstk21.mtx,1,400.306,463.61,448.534,7.45058E-09,7.45058E-09
45,bcsstk15.mtx,1,486.584,599.438,616.575,2.38419E-07,4.76837E-07
46,poli.mtx,1,200.597,242.453,270.777,1.11022E-16,1.11022E-16
47,sts4098.mtx,1,283.349,347.301,378.168,9.31323E-10,9.31323E-10
48,bcsstk28.mtx,1,473.766,572.863,696.979,1.49012E-08,4.65661E-10
49,crystk01.mtx,1,751.405,946.25,1049.74,6.46235E-27,1.29247E-26
50,bcsstk16.mtx,1,427.531,702.417,759.958,2.38419E-07,1.19209E-07
51,add32.mtx,1,37.305,48.59,54.304,3.46945E-18,3.46945E-18
52,rail_5177.mtx,1,22.553,28.433,31.214,3.38813E-21,3.38813E-21
53,c-31.mtx,1,147.338,173.756,216.118,1.05754E-13,2.95874E-14
54,s3rmt3m3.mtx,1,199.831,246.97,287.218,4.54747E-13,4.54747E-13
55,s1rmq4m1.mtx,1,767.236,963.79,1137.979,2.91038E-11,1.45519E-11
56,s2rmq4m1.mtx,1,767.393,938.408,1096.969,3.63798E-12,1.81899E-12
57,Na5.mtx,1,435.751,492.503,540.76,5.67923E-15,1.77636E-15
58,Cejka5943.mtx,1,1.476,1.859,2.349,8.63292E-08,3.48389E-07
59,fp.mtx,1,160.58,200.67,246.258,1.13687E-13,5.68434E-14
60,Cejka7580.mtx,1,0.923,1.149,1.481,4.34316E-08,3.39267E-07
61,bundle1.mtx,1,766.851,1022.014,1337.534,3.05176E-05,0.000244141
62,Cejka10793.mtx,1,0.956,1.259,1.67,1.14565E-07,1.05767E-06
