id,matrix-name,cm-bandwidth,icm8-bandwidth,icm16-bandwidth,icm32-bandwidth,cm-speedup,icm8-speedup,icm16-speedup,icm32-speedup,cm-Adiff,icmx-Adiff
0,ex5.mtx,4.86,0.014,0.015,0.014,1,0.003,0.003,0.003,0.125,0.25
1,bcsstk01.mtx,2.425,0.061,0.064,0.061,1,0.025,0.026,0.025,32,32
2,bcsstm02.mtx,1.854,0.686,0.785,0.807,1,0.372,0.425,0.438,0.000488281,0.000976563
3,bcsstk02.mtx,1.854,0.063,0.067,0.062,1,0.034,0.036,0.034,0,0
4,pivtol.mtx,1.107,0.076,0.086,0.079,1,0.069,0.078,0.072,3.72529E-09,3.72529E-09
5,bcsstk03.mtx,1.012,0.116,0.127,0.116,1,0.115,0.125,0.115,4096,4096
6,arc130.mtx,0.634,0.918,1.018,0.904,1,1.448,1.605,1.427,3.8147E-06,3.8147E-06
7,bcsstk04.mtx,0.838,0.401,0.435,0.382,1,0.478,0.518,0.455,0.5,0.03125
8,bcsstk22.mtx,0.784,0.207,0.228,0.203,1,0.264,0.291,0.26,0.25,0.5
9,bcsstk05.mtx,0.697,0.514,0.551,0.525,1,0.737,0.792,0.753,0.125,0.125
10,problem1.mtx,0.205,0.592,0.678,0.656,1,2.883,3.302,3.197,2.38419E-07,2.38419E-07
11,bcsstk06.mtx,0.202,1.42,3.036,2.787,1,7.037,15.042,13.812,32,32
12,bcsstk07.mtx,0.203,2.651,3.044,2.816,1,13.068,15.005,13.887,32,32
13,bcsstk20.mtx,0.168,0.697,0.898,0.84,1,4.146,5.341,4.999,16777220,2097152
14,494_bus.mtx,0.167,1.003,0.922,1.139,1,5.998,5.511,6.809,6.10352E-05,0.000488281
15,662_bus.mtx,0.12,1.41,1.584,1.006,1,11.743,13.197,8.377,0.00012207,0.00012207
16,685_bus.mtx,0.115,2.854,3.36,3.072,1,24.787,29.183,26.677,6.10352E-05,6.10352E-05
17,bcsstk19.mtx,0.094,5.514,7.045,6.434,1,58.467,74.677,68.196,524288,16384
18,bcsstk08.mtx,0.071,7.027,9.722,9.079,1,98.896,136.791,127.779,32,8
19,bcsstk09.mtx,0.071,4.498,6.973,5.346,1,63.484,98.417,75.457,4,4
20,bcsstk10.mtx,0.071,5.216,8.969,5.793,1,73.678,126.697,81.827,1,1
21,1138_bus.mtx,0.067,1.858,3.116,2.745,1,27.544,46.197,40.696,0.00012207,0.000488281
22,bcsstm27.mtx,0.063,9.533,11.876,10.018,1,152.373,189.791,160.114,0.0625,0.03125
23,bcsstk27.mtx,0.062,9.294,10.119,8.037,1,148.794,161.973,128.659,0.005859375,6.10352E-05
24,bcsstk12.mtx,0.051,6.712,6.474,5.413,1,130.614,125.978,105.346,32,4
25,bcsstk11.mtx,0.051,6.284,8.363,7.647,1,122.537,163.085,149.114,32,4
26,Cejka1641.mtx,0.046,0.063,0.076,0.07,1,1.383,1.665,1.527,5.741364,13.07728
27,bcsstk14.mtx,0.042,9.233,11.4,10.416,1,221.721,273.772,250.099,512,16
28,bcsstk26.mtx,0.039,10.133,14.006,12.946,1,258.984,357.955,330.832,4096,256
29,bcsstm26.mtx,0.039,12.328,15.726,12.246,1,315.242,402.143,313.147,0,0
